Var1,Var2,cgmlst,SNP
DW462,DW027,249,1547
DW463,DW027,247,1617
DW464,DW027,254,1493
DW481,DW027,271,1494
DW482,DW027,264,1660
DW483,DW027,241,1422
DW484,DW027,245,1536
DW485,DW027,242,1491
DW486,DW027,276,1500
DW487,DW027,205,1580
DW488,DW027,283,1774
DW489,DW027,269,1600
M2282,DW027,235,1305
M2300,DW027,227,1249
M2321,DW027,265,1391
M2341,DW027,238,1384
M30,DW027,214,1176
M6090,DW027,234,1197
M6151,DW027,234,1200
M6257,DW027,252,1453
M6270,DW027,242,1234
M6280,DW027,293,1885
M6282,DW027,255,1600
M6283,DW027,264,1789
M6284,DW027,235,1223
M6285,DW027,245,1463
M6286,DW027,270,1710
M6303,DW027,247,1338
M6312,DW027,233,1210
M6320,DW027,241,1433
M6327,DW027,226,1223
M6328,DW027,249,1257
M6475,DW027,248,1534
M6489,DW027,240,1506
M6593,DW027,253,1404
M6604,DW027,253,1620
M6711,DW027,200,1251
M6713,DW027,277,1798
R32G,DW027,213,1213
TW10_5G,DW027,214,1211
TW10_6G,DW027,214,1215
TW48-5G,DW027,214,1213
UTMB_10G,DW027,214,1213
DW039,DW033,304,2207
DW041,DW033,287,1828
DW050,DW033,273,1309
DW055,DW033,270,1975
DW058,DW033,266,1740
DW065,DW033,256,1762
DW077,DW033,304,2132
DW079,DW033,284,1952
DW081,DW033,328,2418
DW085,DW033,311,2271
DW088,DW033,298,2195
DW096,DW033,281,1858
DW097,DW033,288,1754
DW098,DW033,297,2235
DW100,DW033,304,2170
DW108,DW033,277,1835
DW112,DW033,96,510
DW119,DW033,286,1981
DW121,DW033,316,2226
DW123,DW033,300,2220
DW124,DW033,301,2211
DW128,DW033,295,1978
DW129,DW033,304,2198
DW131,DW033,300,2351
DW133,DW033,219,1464
DW140,DW033,276,2029
DW141,DW033,251,1913
DW148,DW033,290,1933
DW153,DW033,282,1933
DW155,DW033,290,1965
DW166,DW033,301,1894
DW167,DW033,260,1690
DW170,DW033,298,1870
DW172,DW033,219,1384
DW268,DW033,108,545
DW269,DW033,107,513
DW270,DW033,108,555
DW272,DW033,217,1441
DW276,DW033,298,2013
DW277,DW033,293,2050
DW278,DW033,293,2185
DW279,DW033,291,2025
DW281,DW033,281,1890
DW282,DW033,315,2311
DW283,DW033,291,2236
DW285,DW033,135,791
DW286,DW033,279,1782
DW287,DW033,285,2198
DW290,DW033,288,2082
DW292,DW033,104,565
DW293,DW033,320,2377
DW295,DW033,308,2332
DW296,DW033,326,2354
DW299,DW033,278,1980
DW301,DW033,282,1939
DW303,DW033,305,2176
DW304,DW033,269,1779
DW307,DW033,288,1910
DW308,DW033,281,2003
DW309,DW033,281,1869
DW312,DW033,287,2052
DW313,DW033,101,421
DW315,DW033,293,2031
DW316,DW033,288,1929
DW318,DW033,313,2302
DW320,DW033,310,2278
DW321,DW033,309,2280
DW325,DW033,277,1971
DW326,DW033,309,2241
DW329,DW033,270,1862
DW330,DW033,107,384
DW331,DW033,280,1946
DW332,DW033,310,2235
DW334,DW033,105,563
DW336,DW033,312,2270
DW337,DW033,284,2051
DW339,DW033,269,1830
DW342,DW033,278,1675
DW344,DW033,308,2269
DW345,DW033,297,2226
DW346,DW033,285,1890
DW347,DW033,283,1987
DW349,DW033,265,1839
DW351,DW033,285,1957
DW355,DW033,279,1919
DW356,DW033,319,2425
DW359,DW033,284,1901
DW360,DW033,302,2362
DW361,DW033,303,2196
DW365,DW033,264,1773
DW366,DW033,118,565
DW368,DW033,265,1676
DW369,DW033,274,1603
DW370,DW033,265,1801
DW371,DW033,298,2132
DW372,DW033,217,1322
DW373,DW033,171,1025
DW374,DW033,232,1807
DW375,DW033,213,1342
DW376,DW033,287,1760
DW377,DW033,309,2211
DW379,DW033,121,515
DW380,DW033,98,491
DW381,DW033,301,2123
DW382,DW033,303,2046
DW383,DW033,300,2124
DW384,DW033,286,1850
DW385,DW033,303,2234
DW387,DW033,258,1514
DW388,DW033,308,2174
DW389,DW033,290,2009
DW390,DW033,290,1832
DW391,DW033,290,1841
DW392,DW033,280,1786
DW395,DW033,272,1361
DW396,DW033,219,1191
DW397,DW033,277,1808
DW398,DW033,257,1678
DW401,DW033,269,1819
DW402,DW033,305,2014
DW405,DW033,200,1119
DW409,DW033,319,1764
DW410,DW033,284,1647
DW413,DW033,289,1758
DW414,DW033,255,1737
DW415,DW033,267,1708
DW418,DW033,303,1961
DW420,DW033,298,1948
DW423,DW033,314,2010
DW425,DW033,283,1769
DW427,DW033,284,1792
DW428,DW033,112,537
DW429,DW033,256,1709
DW430,DW033,312,2147
DW432,DW033,294,2146
DW433,DW033,308,2209
DW434,DW033,305,2260
DW435,DW033,301,2145
DW436,DW033,257,1667
DW438,DW033,289,1866
DW439,DW033,303,2072
DW441,DW033,308,2262
DW442,DW033,306,2203
DW443,DW033,219,1216
DW444,DW033,289,1836
DW446,DW033,209,1189
DW448,DW033,274,1765
DW449,DW033,225,1396
DW450,DW033,310,2072
DW451,DW033,290,1796
DW452,DW033,292,1937
DW454,DW033,301,2023
DW456,DW033,302,1989
DW458,DW033,313,2143
DW460,DW033,204,1172
DW462,DW033,285,1882
DW463,DW033,274,1860
DW464,DW033,218,1399
DW481,DW033,298,2007
DW482,DW033,310,2267
DW483,DW033,288,2233
DW484,DW033,279,1893
DW485,DW033,282,1762
DW486,DW033,99,285
DW487,DW033,238,1802
DW488,DW033,294,2109
DW489,DW033,319,2150
M2282,DW033,289,2145
M2300,DW033,285,2141
M2321,DW033,298,2046
M2341,DW033,290,2020
M30,DW033,279,2029
M6090,DW033,289,2095
M6151,DW033,289,2145
M6257,DW033,298,2121
M6270,DW033,299,2177
M6280,DW033,312,2149
M6282,DW033,278,1903
M6283,DW033,263,1844
M6284,DW033,295,2141
M6285,DW033,283,2015
M6286,DW033,267,1814
M6303,DW033,292,2205
M6312,DW033,286,2120
M6320,DW033,290,2193
M6327,DW033,289,2118
M6328,DW033,304,2139
M6475,DW033,295,2134
M6489,DW033,276,1829
M6593,DW033,287,2039
M6604,DW033,274,1926
M6711,DW033,253,1721
M6713,DW033,214,1251
R32G,DW033,277,2189
TW10_5G,DW033,278,2189
TW10_6G,DW033,278,2191
TW48-5G,DW033,278,2185
UTMB_10G,DW033,278,2188
DW041,DW039,309,2126
DW050,DW039,237,1004
DW055,DW039,219,1357
DW058,DW039,302,2210
DW065,DW039,290,2102
DW077,DW039,242,1594
DW079,DW039,295,2249
DW081,DW039,282,1985
DW085,DW039,252,1787
DW088,DW039,243,1662
DW096,DW039,305,2168
DW097,DW039,258,1505
DW098,DW039,239,1695
DW100,DW039,25,165
DW108,DW039,290,2099
DW112,DW039,274,1904
DW119,DW039,304,2400
DW121,DW039,138,832
DW123,DW039,243,1676
DW124,DW039,243,1609
DW128,DW039,254,1695
DW129,DW039,0,17
DW131,DW039,243,1799
DW133,DW039,284,1738
DW140,DW039,227,1498
DW141,DW039,263,2172
DW148,DW039,316,2233
DW153,DW039,308,2226
DW155,DW039,315,2277
DW166,DW039,301,1930
DW167,DW039,303,2055
DW170,DW039,280,1884
DW172,DW039,277,1776
DW268,DW039,285,2083
DW269,DW039,288,1870
DW270,DW039,287,2028
DW272,DW039,283,1722
DW276,DW039,23,78
DW277,DW039,240,1621
DW278,DW039,123,843
DW279,DW039,305,2264
DW281,DW039,307,2235
DW282,DW039,255,1775
DW283,DW039,118,865
DW285,DW039,291,2130
DW286,DW039,291,1995
DW287,DW039,115,832
DW290,DW039,230,1479
DW292,DW039,282,1982
DW293,DW039,275,2010
DW295,DW039,236,1713
DW296,DW039,278,1997
DW299,DW039,302,2289
DW301,DW039,299,2222
DW303,DW039,242,1583
DW304,DW039,296,2140
DW307,DW039,315,2215
DW308,DW039,304,2287
DW309,DW039,303,2137
DW312,DW039,228,1484
DW313,DW039,300,2201
DW315,DW039,237,1556
DW316,DW039,313,2241
DW318,DW039,241,1675
DW320,DW039,126,880
DW321,DW039,125,896
DW325,DW039,298,2261
DW326,DW039,125,864
DW329,DW039,306,2315
DW330,DW039,307,2132
DW331,DW039,301,2266
DW332,DW039,135,892
DW334,DW039,282,2086
DW336,DW039,138,912
DW337,DW039,244,1503
DW339,DW039,304,2285
DW342,DW039,275,1640
DW344,DW039,131,947
DW345,DW039,250,1593
DW346,DW039,298,2179
DW347,DW039,305,2307
DW349,DW039,283,2133
DW351,DW039,271,1994
DW355,DW039,309,2243
DW356,DW039,277,2034
DW359,DW039,296,2152
DW360,DW039,248,1826
DW361,DW039,121,883
DW365,DW039,293,2108
DW366,DW039,289,2013
DW368,DW039,281,1982
DW369,DW039,267,1512
DW370,DW039,285,2103
DW371,DW039,243,1573
DW372,DW039,281,1714
DW373,DW039,273,1703
DW374,DW039,256,2137
DW375,DW039,277,1661
DW376,DW039,310,2063
DW377,DW039,252,1676
DW379,DW039,286,1870
DW380,DW039,279,1952
DW381,DW039,245,1622
DW382,DW039,277,1818
DW383,DW039,255,1725
DW384,DW039,313,2145
DW385,DW039,248,1683
DW387,DW039,312,2139
DW388,DW039,250,1672
DW389,DW039,285,2001
DW390,DW039,308,2142
DW391,DW039,308,2166
DW392,DW039,309,2107
DW395,DW039,227,755
DW396,DW039,314,2269
DW397,DW039,305,2119
DW398,DW039,301,2039
DW401,DW039,285,2098
DW402,DW039,22,68
DW405,DW039,299,2103
DW409,DW039,264,1555
DW410,DW039,302,1878
DW413,DW039,306,2051
DW414,DW039,275,2005
DW415,DW039,303,2176
DW418,DW039,285,2023
DW420,DW039,129,749
DW423,DW039,119,646
DW425,DW039,309,2032
DW427,DW039,311,2100
DW428,DW039,290,1980
DW429,DW039,303,2059
DW430,DW039,127,782
DW432,DW039,191,996
DW433,DW039,253,1699
DW434,DW039,246,1719
DW435,DW039,238,1601
DW436,DW039,302,2010
DW438,DW039,302,2112
DW439,DW039,248,1552
DW441,DW039,236,1652
DW442,DW039,247,1657
DW443,DW039,311,2088
DW444,DW039,311,2149
DW446,DW039,318,2269
DW448,DW039,301,2118
DW449,DW039,287,1757
DW450,DW039,222,1274
DW451,DW039,308,2083
DW452,DW039,272,1771
DW454,DW039,37,158
DW456,DW039,287,2043
DW458,DW039,136,796
DW460,DW039,303,2216
DW462,DW039,301,2147
DW463,DW039,302,2271
DW464,DW039,281,1739
DW481,DW039,274,1768
DW482,DW039,238,1636
DW483,DW039,234,1667
DW484,DW039,303,2147
DW485,DW039,308,2091
DW486,DW039,305,1933
DW487,DW039,258,2196
DW488,DW039,270,1739
DW489,DW039,273,1721
M2282,DW039,233,1553
M2300,DW039,224,1519
M2321,DW039,251,1511
M2341,DW039,229,1410
M30,DW039,214,1407
M6090,DW039,232,1508
M6151,DW039,232,1552
M6257,DW039,207,1258
M6270,DW039,238,1577
M6280,DW039,283,1891
M6282,DW039,307,2306
M6283,DW039,295,2326
M6284,DW039,236,1530
M6285,DW039,236,1520
M6286,DW039,272,1820
M6303,DW039,228,1510
M6312,DW039,231,1542
M6320,DW039,248,1767
M6327,DW039,225,1505
M6328,DW039,243,1479
M6475,DW039,192,1026
M6489,DW039,303,2148
M6593,DW039,232,1418
M6604,DW039,243,1662
M6711,DW039,296,2117
M6713,DW039,313,2360
R32G,DW039,214,1613
TW10_5G,DW039,215,1611
TW10_6G,DW039,215,1613
TW48-5G,DW039,215,1613
UTMB_10G,DW039,215,1613
DW050,DW041,285,547
DW055,DW041,271,1838
DW058,DW041,189,1051
DW065,DW041,202,1092
DW077,DW041,294,1919
DW079,DW041,299,1862
DW081,DW041,312,2063
DW085,DW041,296,1910
DW088,DW041,292,1962
DW096,DW041,114,395
DW097,DW041,280,1731
DW098,DW041,298,2062
DW100,DW041,311,2119
DW108,DW041,77,188
DW112,DW041,264,1677
DW119,DW041,140,671
DW121,DW041,308,2045
DW123,DW041,292,2022
DW124,DW041,301,1962
DW128,DW041,297,1746
DW129,DW041,309,2108
DW131,DW041,292,2107
DW133,DW041,273,1721
DW140,DW041,283,1958
DW141,DW041,77,212
DW148,DW041,84,218
DW153,DW041,94,303
DW155,DW041,82,248
DW166,DW041,304,1939
DW167,DW041,214,1079
DW170,DW041,120,374
DW172,DW041,257,1544
DW268,DW041,272,1775
DW269,DW041,268,1636
DW270,DW041,271,1717
DW272,DW041,272,1715
DW276,DW041,299,2013
DW277,DW041,265,1735
DW278,DW041,278,2010
DW279,DW041,83,250
DW281,DW041,73,249
DW282,DW041,310,2317
DW283,DW041,282,2045
DW285,DW041,277,1770
DW286,DW041,86,211
DW287,DW041,276,2019
DW290,DW041,288,1823
DW292,DW041,270,1720
DW293,DW041,305,2032
DW295,DW041,303,2115
DW296,DW041,309,2002
DW299,DW041,59,201
DW301,DW041,103,355
DW303,DW041,301,1936
DW304,DW041,211,1094
DW307,DW041,74,181
DW308,DW041,97,339
DW309,DW041,98,282
DW312,DW041,282,1891
DW313,DW041,274,1795
DW315,DW041,291,1934
DW316,DW041,74,188
DW318,DW041,305,2106
DW320,DW041,297,2059
DW321,DW041,297,2053
DW325,DW041,106,358
DW326,DW041,297,2040
DW329,DW041,205,1110
DW330,DW041,283,1775
DW331,DW041,99,285
DW332,DW041,300,2062
DW334,DW041,270,1756
DW336,DW041,299,2068
DW337,DW041,284,1970
DW339,DW041,191,1112
DW342,DW041,256,1492
DW344,DW041,294,2079
DW345,DW041,298,2050
DW346,DW041,85,214
DW347,DW041,92,318
DW349,DW041,98,299
DW351,DW041,114,378
DW355,DW041,95,322
DW356,DW041,306,2093
DW359,DW041,95,257
DW360,DW041,296,2114
DW361,DW041,292,2038
DW365,DW041,93,279
DW366,DW041,279,1720
DW368,DW041,225,1153
DW369,DW041,248,1430
DW370,DW041,96,299
DW371,DW041,291,1922
DW372,DW041,257,1521
DW373,DW041,281,1690
DW374,DW041,75,209
DW375,DW041,267,1685
DW376,DW041,117,297
DW377,DW041,292,1890
DW379,DW041,278,1644
DW380,DW041,266,1636
DW381,DW041,295,1963
DW382,DW041,264,1536
DW383,DW041,296,1901
DW384,DW041,72,183
DW385,DW041,300,2035
DW387,DW041,274,1531
DW388,DW041,293,1877
DW389,DW041,237,1067
DW390,DW041,103,277
DW391,DW041,103,275
DW392,DW041,76,162
DW395,DW041,265,1267
DW396,DW041,293,1863
DW397,DW041,77,171
DW398,DW041,211,1056
DW401,DW041,77,191
DW402,DW041,309,2005
DW405,DW041,274,1771
DW409,DW041,290,1599
DW410,DW041,102,274
DW413,DW041,107,277
DW414,DW041,95,288
DW415,DW041,189,1034
DW418,DW041,124,393
DW420,DW041,289,1889
DW423,DW041,312,2055
DW425,DW041,77,148
DW427,DW041,96,265
DW428,DW041,278,1690
DW429,DW041,208,1069
DW430,DW041,297,2023
DW432,DW041,285,1891
DW433,DW041,293,1861
DW434,DW041,295,2042
DW435,DW041,297,1861
DW436,DW041,210,1046
DW438,DW041,85,195
DW439,DW041,299,1929
DW441,DW041,303,2077
DW442,DW041,296,2025
DW443,DW041,292,1801
DW444,DW041,103,274
DW446,DW041,296,1834
DW448,DW041,122,455
DW449,DW041,282,1741
DW450,DW041,295,1831
DW451,DW041,103,271
DW452,DW041,298,1796
DW454,DW041,306,2030
DW456,DW041,120,387
DW458,DW041,304,2024
DW460,DW041,285,1777
DW462,DW041,76,221
DW463,DW041,117,500
DW464,DW041,271,1723
DW481,DW041,260,1500
DW482,DW041,304,2062
DW483,DW041,281,1997
DW484,DW041,97,251
DW485,DW041,99,241
DW486,DW041,281,1642
DW487,DW041,100,446
DW488,DW041,286,1835
DW489,DW041,304,1908
M2282,DW041,291,1808
M2300,DW041,286,1897
M2321,DW041,290,1790
M2341,DW041,290,1884
M30,DW041,275,1807
M6090,DW041,286,1843
M6151,DW041,286,1857
M6257,DW041,285,1850
M6270,DW041,289,1905
M6280,DW041,307,2036
M6282,DW041,213,1304
M6283,DW041,257,1481
M6284,DW041,286,1897
M6285,DW041,288,1937
M6286,DW041,280,1869
M6303,DW041,294,1936
M6312,DW041,285,1895
M6320,DW041,298,2016
M6327,DW041,283,1866
M6328,DW041,303,1906
M6475,DW041,282,1860
M6489,DW041,57,149
M6593,DW041,278,1746
M6604,DW041,283,1908
M6711,DW041,206,1077
M6713,DW041,293,1907
R32G,DW041,274,1876
TW10_5G,DW041,275,1882
TW10_6G,DW041,275,1877
TW48-5G,DW041,275,1876
UTMB_10G,DW041,275,1876
DW055,DW050,195,780
DW058,DW050,273,867
DW065,DW050,265,833
DW077,DW050,228,934
DW079,DW050,275,1212
DW081,DW050,263,1287
DW085,DW050,233,1090
DW088,DW050,222,978
DW096,DW050,276,599
DW097,DW050,256,959
DW098,DW050,90,348
DW100,DW050,236,981
DW108,DW050,263,536
DW112,DW050,252,1027
DW119,DW050,287,803
DW121,DW050,244,1023
DW123,DW050,221,1020
DW124,DW050,223,940
DW128,DW050,244,954
DW129,DW050,237,987
DW131,DW050,221,1101
DW133,DW050,237,880
DW140,DW050,200,873
DW141,DW050,244,615
DW148,DW050,288,614
DW153,DW050,283,633
DW155,DW050,286,647
DW166,DW050,297,1204
DW167,DW050,272,797
DW170,DW050,269,527
DW172,DW050,243,856
DW268,DW050,263,1100
DW269,DW050,262,1016
DW270,DW050,265,1119
DW272,DW050,239,844
DW276,DW050,232,901
DW277,DW050,240,920
DW278,DW050,224,1017
DW279,DW050,277,659
DW281,DW050,279,585
DW282,DW050,266,1415
DW283,DW050,221,1049
DW285,DW050,264,1143
DW286,DW050,266,509
DW287,DW050,217,1020
DW290,DW050,203,812
DW292,DW050,259,1090
DW293,DW050,259,1222
DW295,DW050,251,1204
DW296,DW050,265,1220
DW299,DW050,277,604
DW301,DW050,275,626
DW303,DW050,216,893
DW304,DW050,273,870
DW307,DW050,286,590
DW308,DW050,270,621
DW309,DW050,269,549
DW312,DW050,200,853
DW313,DW050,267,1226
DW315,DW050,223,905
DW316,DW050,286,608
DW318,DW050,253,1242
DW320,DW050,240,1065
DW321,DW050,239,1075
DW325,DW050,266,615
DW326,DW050,239,1050
DW329,DW050,283,956
DW330,DW050,274,1163
DW331,DW050,274,636
DW332,DW050,245,1072
DW334,DW050,261,1152
DW336,DW050,243,1096
DW337,DW050,228,978
DW339,DW050,277,938
DW342,DW050,248,768
DW344,DW050,240,1081
DW345,DW050,236,1085
DW346,DW050,273,585
DW347,DW050,284,660
DW349,DW050,258,594
DW351,DW050,252,579
DW355,DW050,282,618
DW356,DW050,259,1279
DW359,DW050,271,627
DW360,DW050,220,1127
DW361,DW050,232,1044
DW365,DW050,270,536
DW366,DW050,268,1098
DW368,DW050,255,756
DW369,DW050,235,699
DW370,DW050,267,548
